Name,Data File,Type,Level,Acq. Date-Time,Copepodamide,RT,Final Conc.,Accuracy,Noise,S/N,Area
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,LysoDCA_450 Results,2.928,1071799539,,55.6,1882.12,1529655
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,LysoDCA_450 Results,2.953,2956330.233,,2.13,144.12,4214
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,LysoDCA_450 Results,2.928,192505.0904,,0.71,49.23,270
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,CA_706 Results,9.523,200000,100,9.8,6888.97,364332
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,CA_706 Results,9.548,100000,100,0,8,180007
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,CA_706 Results,9.548,192909.1304,,1.18,55232.77,351262
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,CA_706 Results,9.54,517923.4198,,66.71,2514.09,950344
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,CA_706 Results,9.39,7499423.66,,151.12,13257.69,13818990
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,CA_706 Results,9.466,9608405.695,,0,8,17706369
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,CA_706 Results,9.557,49783.6546,,0,8,87446
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,CA_706 Results,9.557,3788.6305,,1.35,350.1,2666
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,CA_708 Results,9.656,200000,100,0,8,35177
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,CA_708 Results,9.689,100000,100,0,8,17517
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,CA_708 Results,9.681,248473.0118,,8.02,990.64,43737
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,CA_708 Results,9.681,744383.0677,,0,8,131311
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,CA_708 Results,9.547,15018689.65,,5.74,72680.01,2652051
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,CA_708 Results,9.622,21661573.45,,415.51,1650.75,3825136
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,CA_708 Results,9.689,67710.2711,,4.92,422.82,11815
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,CA_708 Results,9.706,2741.2489,,0.28,212.81,342
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,CA_732 Results,9.922,200000,100,29.08,4351.55,686597
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,CA_732 Results,9.947,100000,100,14.92,4258.11,341072
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,CA_732 Results,9.947,170442.0215,,3.64,29179.41,584467
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,CA_732 Results,9.938,445298.3857,,7.94,33665.08,1534163
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,CA_732 Results,9.738,6898033.25,,6903.65,549.84,23829947
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,CA_732 Results,9.813,5742577.125,,0,8,19837562
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,CA_732 Results,9.955,43435.2952,,0,8,145627
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,CA_732 Results,9.955,2438.2359,,1.33,542.69,3972
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,DCA_734 Results,10.054,200000,100,5.86,1558.37,52691
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,DCA_734 Results,10.079,100000,100,1.97,2249.81,24721
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,DCA_734 Results,10.079,246996.1114,,8.41,1400.54,65836
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,DCA_734 Results,10.079,790201.1274,,0,8,217772
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,DCA_734 Results,9.904,5816792.627,,41.32,7442.82,1623721
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,DCA_734 Results,9.971,8264497.057,,295.58,1357.71,2308349
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,DCA_734 Results,10.087,64017.9861,,0,8,14657
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,DCA_734 Results,10.087,13356.9174,,3.26,28.06,487
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,CA_758 Results,10.353,200000,100,0,8,2391734
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,CA_758 Results,10.387,100000,100,17.43,11769.94,1073060
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,CA_758 Results,10.37,276505.2864,,0,8,3400589
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,CA_758 Results,10.353,518852.8994,,0,8,6596363
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,CA_758 Results,10.086,4375679.743,,0,8,57455317
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,CA_758 Results,10.136,5389248.043,,36.15,154829.95,70820974
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,CA_758 Results,10.395,74660.0801,,22.05,5907.73,738910
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,CA_758 Results,10.395,20138.8271,,2.18,1737.82,19952
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,CA_658 Results,10.426,200000,100,7.54,1470.95,68314
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,CA_658 Results,10.451,100000,100,12.85,421.1,35026
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,CA_658 Results,10.451,196980.4235,,5.32,1749.77,67309
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,CA_658 Results,10.485,367238.2802,,3.76,4602.55,123983
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,CA_658 Results,10.159,4426397.382,,32.49,5916.92,1475172
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,CA_658 Results,10.226,4138260.635,,113.55,1281.16,1379259
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,CA_658 Results,10.468,36061.2368,,3.34,657.55,13743
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,CA_658 Results,10.46,0,,6.74,10.1,418
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,DCA_760 Results,10.519,200000,100,0,8,290592
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,DCA_760 Results,10.536,100000,100,27.75,1048.83,149416
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,DCA_760 Results,10.528,750202.4639,,0,8,1067344
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,DCA_760 Results,10.511,1604707.971,,0,8,2273698
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,DCA_760 Results,10.344,3817706.76,,403.25,1780.61,5397915
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,DCA_760 Results,10.452,7182409.488,,43.09,36146.27,10148058
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,DCA_760 Results,10.528,68753.3939,,0,8,105303
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,DCA_760 Results,10.519,0,,0.55,553.79,1648
200nM,SCW_HP20-027.d,Cal,200000,2/2/2024 9:01 PM,CA_686 Results,11.492,200000,100,4.51,8739.16,211393
100nM,A2B2C-R1-009.d,Cal,100000,2/3/2024 5:13 PM,CA_686 Results,11.517,100000,100,5.53,3075.92,90974
A_Tjarno_std,A2B2C-R1-107.d,Sample,,2/5/2024 10:55 AM,CA_686 Results,11.525,213332.8233,,11.21,3789.91,227449
B_Mussel_std,A2B2C-R1-108.d,Sample,,2/5/2024 11:21 AM,CA_686 Results,11.533,142234.2881,,7.44,3632.93,141832
C_Culture_testA,A2B2C-R1-109.d,Sample,,2/5/2024 11:47 AM,CA_686 Results,11.141,10063558.34,,0,8,12089041
D_Culture_testB,A2B2C-R1-110.d,Sample,,2/5/2024 12:12 PM,CA_686 Results,11.316,7868410.413,,1147.54,1404.14,9445655
E_100nM_test,A2B2C-R1-111.d,Sample,,2/5/2024 12:38 PM,CA_686 Results,11.533,80149.1107,,3.47,3609.62,67069
F_1nM_test,A2B2C-R1-112.d,Sample,,2/5/2024 1:03 PM,CA_686 Results,11.533,25997.7989,,0.91,396,1861
